cod	lat	lng	intrusion	variation	flag_variation
04620	37.2291388	-1.8611011	2	37.9	neg
04628	37.2282072	-1.9196949	10	18.4	neg
04630	37.1921986	-1.8269573	1	31.6	neg
04638	37.1220313	-1.8611011	3	0.0	null
04639	37.0887798	-1.9294681	1	119.6	pos
04640	37.4077884	-1.710095	2	114.1	pos
04648	37.3817139	-1.6663523	6	17.6	pos
04650	37.3331982	-2.037116	9	128.7	pos
04660	37.3430329	-2.086133	4	0.0	null
04661	37.4022034	-2.0616178	2	100.0	pos
04692	37.4609823	-2.0567163	11	0.0	null
04700	36.7869792	-2.7929203	6	7.7	neg
04710	36.8041623	-2.7481176	12	18.9	pos
04711	36.7118306	-2.7829605	2	279.3	pos
04712	36.7337642	-2.8801585	2	48.3	neg
04713	36.7783709	-2.9275836	8	0.0	null
04715	36.7381783	-2.807864	8	30.4	pos
04716	36.7455228	-2.7232456	10	19.8	pos
04720	36.8239641	-2.5842062	2	90.9	pos
04721	36.811455	-2.6028036	6	0.0	null
04738	36.8059673	-2.6685736	3	42.0	neg
04740	36.7637909	-2.6288523	3	48.4	neg
04745	36.7571919	-2.6834778	12	21.3	neg
04746	36.8000285	-2.6934166	22	0.0	null
04750	36.8558488	-2.8377656	5	0.0	null
04760	36.8644302	-2.9275836	6	0.0	null
04770	36.7963773	-3.0676373	7	12.1	neg
04779	36.7503457	-2.9725563	7	256.8	pos
04800	37.379459	-2.1401139	3	0.0	null
04838	37.7353141	-2.1941598	8	100.0	pos
04860	37.3763259	-2.3073743	1	0.0	null
04869	37.3716515	-2.2728877	6	0.0	null
04870	37.3487532	-2.3517526	11	0.0	null
04880	37.3437267	-2.4678327	8	0.0	null
04890	37.3511696	-2.4950428	6	0.0	null
04898	37.3915415	-2.6040436	33	0.0	null
05001	40.6572697	-4.6980117	1	0.0	null
05002	40.6104621	-4.6967189	1	5.4	pos
05003	40.6267107	-4.6708709	5	214.4	pos
05004	40.6579358	-4.6502012	1	0.0	null
05005	40.6971831	-4.6812086	4	138.0	pos
05164	40.8392976	-4.7898731	10	5.3	pos
05165	40.9313654	-4.7588042	27	0.0	null
05194	40.6956435	-4.5934	3	100.0	pos
05198	40.5012973	-4.883185	22	100.0	pos
05200	41.0530381	-4.7381013	2	0.0	null
05229	41.0758334	-4.9143239	25	100.0	pos
05230	40.6144059	-4.3359635	1	100.0	pos
05260	40.4488552	-4.4182089	1	0.0	null
05270	40.4147756	-4.5108862	5	24.3	neg
05290	40.8759039	-4.6347041	15	0.0	null
05292	40.8355295	-4.6347041	8	100.0	pos
05294	40.5931117	-4.4954289	14	0.0	null
05296	41.0056754	-4.6657027	27	14.9	pos
05400	40.132691	-5.1640605	1	0.0	null
05413	40.2508932	-5.0286488	20	0.0	null
05417	40.2259346	-5.1327829	22	0.0	null
05420	40.2893484	-4.5934	2	23.1	neg
05427	40.2265178	-4.6347041	6	0.0	null
05430	40.2868761	-4.6553679	1	5.0	neg
05440	40.3153572	-4.7070616	1	0.0	null
05460	40.2978812	-4.883185	12	0.0	null
05480	40.169783	-5.2475518	5	0.0	null
05510	40.5027658	-5.4201377	50	0.0	null
05530	40.6009809	-4.9247074	23	0.0	null
05592	40.4200992	-5.3416255	50	100.0	pos
05621	40.313104	-5.6668306	100	0.0	null
05633	40.3241012	-5.2162283	20	0.0	null
05690	40.2844342	-5.4149003	66	0.0	null
06001	38.8799777	-6.9732612	3	49.1	pos
06003	38.8724985	-6.9678903	14	100.0	pos
06004	38.8714875	-6.9739326	3	6.5	pos
06005	38.8744567	-6.9786326	6	270.5	pos
06006	38.9344834	-6.9960925	3	39.8	neg
06007	38.8997145	-6.969233	10	0.0	null
06008	38.8829592	-6.9450688	5	49.5	pos
06009	38.862157	-6.9450688	2	23.3	neg
06010	38.7216642	-6.8994495	3	98.8	pos
06011	38.804491	-7.0821162	6	140.7	pos
06100	38.7061395	-7.1574784	1	8.3	neg
06109	38.7358106	-7.0982581	20	100.0	pos
06120	38.2562328	-6.9853474	6	0.0	null
06129	38.3080626	-6.9960925	18	0.0	null
06140	38.8652141	-6.7601057	4	100.0	pos
06150	38.6530873	-6.642433	2	1.2	neg
06160	38.5128131	-6.8994495	8	25.0	pos
06170	38.7708823	-6.7708138	9	0.0	null
06172	38.6359027	-6.7601057	9	0.0	null
06180	38.9383313	-6.9316481	24	0.0	null
06183	38.9226149	-6.8458204	50	0.0	null
06185	38.889722	-6.6958939	8	0.0	null
06191	39.1791101	-6.6264034	28	0.0	null
06197	38.7175579	-6.7012424	20	0.0	null
06200	38.7067657	-6.429036	5	76.9	pos
06207	38.6725126	-6.482318	2	0.0	null
06210	38.7826851	-6.375799	16	100.0	pos
06220	38.5860752	-6.3438785	8	0.0	null
06228	38.559962	-6.0467429	4	2.2	neg
06230	38.4604941	-6.3438785	8	0.0	null
06240	38.2109084	-6.3013432	14	129.6	pos
06260	38.0469857	-6.2163597	9	0.0	null
06270	38.1174794	-6.471658	57	0.0	null
06280	38.0618756	-6.5249759	16	0.0	null
06300	38.4436182	-6.4609998	2	3.3	neg
06310	39.9983134	32.8592148	3	22.6	neg
06320	38.3300373	-6.429036	33	100.0	pos
06330	38.2746126	-6.482318	36	0.0	null
06340	38.2365551	-6.5996963	5	102.9	pos
06370	38.4044531	-6.5996963	12	0.0	null
06380	38.409401	-6.8779926	1	100.0	pos
06390	38.5017068	-6.5463156	33	0.0	null
06400	38.8609054	-5.8775964	3	12.6	pos
06410	39.0187214	-6.0467429	5	0.0	null
06411	38.9694816	-5.9938339	2	6.0	neg
06412	39.0252276	-5.9198387	32	236.0	pos
06420	38.8197417	-5.435853	6	180.0	pos
06430	38.6208039	-5.6668306	4	0.0	null
06441	38.6465066	-5.7826597	15	100.0	pos
06450	38.7441334	-5.7089241	3	100.0	pos
06460	38.8753618	-5.5827334	10	100.0	pos
06470	38.8610422	-6.0785104	4	0.0	null
06473	38.8554784	-6.1845209	14	0.0	null
06480	38.9911617	-6.5569882	6	0.0	null
06486	39.0668196	-6.5036433	14	0.0	null
06490	38.8780828	-6.6264034	10	194.8	pos
06498	38.8321533	-6.6103778	8	100.0	pos
06500	39.3390728	-6.9853474	10	0.0	null
06600	38.8274021	-5.2684437	15	107.7	pos
06611	38.7694478	-5.1640605	57	0.0	null
06700	38.9811729	-5.761583	3	39.9	neg
06710	39.0001269	-5.6931356	20	100.0	pos
06713	39.0858007	-5.6405374	25	100.0	pos
06720	39.0258567	-5.6983979	15	0.0	null
06740	39.0121577	-5.551228	4	100.0	pos
06760	39.0893433	-5.4568133	5	0.0	null
06800	38.9394272	-6.365157	3	6.3	pos
06810	38.8733889	-6.3837817	11	0.0	null
06820	38.8509507	-6.2694608	9	100.0	pos
06830	38.8104204	-6.2482149	11	0.0	null
06850	38.8405129	-6.4609998	11	100.0	pos
06870	38.9225805	-6.482318	16	100.0	pos
06890	38.9156764	-6.2269763	21	100.0	pos
06892	38.9561434	-6.2482149	25	37.5	neg
06900	38.2242952	-6.0467429	3	5.4	pos
06920	38.285297	-5.6668306	17	0.0	null
06950	38.30618	-6.0891032	44	0.0	null
07001	39.5674685	2.6511914	3	22.6	neg
07002	39.5719167	2.6542949	4	0.0	null
07003	39.576534	2.6499501	2	27.4	pos
07004	39.5880103	2.6561571	2	267.8	pos
07005	39.5782018	2.6617441	4	7.2	neg
07006	39.5617364	2.6760251	4	6.8	pos
07007	39.5636884	2.7033575	7	131.7	pos
07008	39.5823929	2.6760251	3	0.7	neg
07009	39.6056802	2.6735412	3	6.0	neg
07010	39.609109	2.6362975	3	112.1	pos
07011	39.6278954	2.6040436	2	90.0	pos
07012	39.5714827	2.644985	1	79.7	pos
07013	39.5868256	2.5941239	1	36.4	neg
07014	39.5683645	2.6114849	1	23.7	neg
07015	39.5558392	2.5941239	2	54.8	pos
07100	39.774964	2.7083287	2	0.0	null
07108	39.799667	2.6971442	4	0.0	null
07110	39.7131687	2.7083287	1	21.1	neg
07120	39.6320483	2.6487087	1	100.0	pos
07140	39.646509	2.9076094	5	64.7	pos
07141	39.6302142	2.728219	1	0.0	null
07144	39.6608482	2.9525632	14	0.0	null
07150	39.595509	2.4307539	5	78.1	pos
07157	39.549742	2.396174	2	49.7	neg
07160	39.5485087	2.4554698	3	12.1	neg
07170	39.694377	2.6288523	2	0.0	null
07179	39.7504818	2.6536742	16	0.0	null
07180	39.506322	2.4950428	4	25.0	pos
07181	39.5512221	2.5693337	2	5.2	pos
07182	51.5221889	30.7457125	9	4.6	pos
07193	39.6673564	2.6834778	1	0.0	null
07198	39.583881	2.7232456	2	0.0	null
07199	39.5668611	2.7879401	3	100.0	pos
07200	39.469985	3.1428341	1	24.8	neg
07210	39.563938	2.9076094	5	0.0	null
07240	39.5810151	3.0476046	8	100.0	pos
07250	39.5587752	3.1077277	11	0.0	null
07300	39.7073604	2.9475662	4	3.6	neg
07312	39.7558283	2.862698	9	100.0	pos
07313	39.7907419	2.9076094	4	100.0	pos
07320	39.6705344	2.7680247	2	61.4	pos
07330	39.6640641	2.8228124	17	102.6	pos
07350	39.6892321	2.847737	4	0.0	null
07360	39.714629	2.862698	4	0.0	null
07400	39.847813	3.0876783	2	39.3	neg
07420	39.7876835	3.0275802	3	0.0	null
07430	39.7053079	3.0275802	14	0.0	null
07440	39.7454611	3.0676373	2	14.5	neg
07458	39.7855713	3.1077277	2	0.0	null
07460	39.8799622	3.0375914	10	317.5	pos
07470	39.9020882	3.0751517	3	40.8	pos
07500	39.5873077	3.1980527	7	0.0	null
07510	39.6434535	3.0275802	14	0.0	null
07519	39.6778324	3.0926899	11	0.0	null
07520	39.5995365	3.1277854	19	151.6	pos
07530	39.6263488	3.2784825	3	0.0	null
07540	39.5864421	3.3212646	7	26.9	neg
07550	39.6340774	3.3691241	5	100.0	pos
07559	39.6358505	3.3968535	9	90.5	pos
07560	39.5875028	3.3741647	7	183.3	pos
07570	39.6770509	3.3086778	3	0.0	null
07580	39.7147641	3.4296446	10	0.0	null
07589	39.6735516	3.4296446	5	100.0	pos
07590	39.711368	3.4574079	2	12.7	neg
07600	39.5209578	2.7630471	8	294.8	pos
07609	39.4726336	2.8377656	1	39.1	pos
07610	39.5293547	2.73568	8	19.2	pos
07620	39.4842763	2.8901388	2	32.2	neg
07630	39.4262136	3.0375914	2	0.0	null
07638	39.3211301	2.9950584	4	100.0	pos
07639	39.3782456	2.8876436	2	100.0	pos
07650	39.3109414	3.0876783	1	0.0	null
07659	39.332322	3.1603968	5	0.0	null
07660	39.3770229	3.2307113	1	9.7	neg
07669	39.4112991	3.2080991	5	5.4	pos
07670	39.4362006	3.2432781	4	0.0	null
07680	39.5331558	3.2885455	4	8.5	neg
07688	39.4563311	3.2633918	6	0.0	null
07691	39.3704286	3.1880083	3	100.0	pos
07701	39.9345868	4.2435893	3	100.0	pos
07710	39.854392	4.2615383	3	0.0	null
07730	39.92839	4.1309067	12	0.0	null
07800	38.9269573	1.4144827	7	6.7	neg
07810	39.0717396	1.5111806	4	0.0	null
07812	39.0097066	1.4724751	17	0.0	null
07814	38.9893306	1.4338047	9	0.0	null
07815	39.0571461	1.4289734	23	0.0	null
07816	38.9691628	1.3758649	12	0.0	null
07817	38.8906965	1.3903425	3	0.0	null
07819	38.9290042	1.4603869	3	36.8	neg
07820	38.9904723	1.3372823	5	105.5	pos
07829	38.9495941	1.2602228	4	21.5	neg
07830	38.9071989	1.3180042	6	26.8	pos
07839	38.8919063	1.2842887	2	8.8	neg
07840	38.9868186	1.5293358	5	37.5	neg
07849	38.9677436	1.4918235	16	84.0	pos
07850	39.0501398	1.5693045	3	22.0	neg
07871	38.7227662	1.4386366	7	0.0	null
08001	41.3795863	2.1683571	5	11.2	neg
08002	41.3819518	2.1757278	4	41.9	neg
08003	41.3842701	2.1855573	3	34.4	neg
08004	41.3722574	2.1585314	5	27.5	pos
08005	41.3977365	2.2015347	2	5.0	neg
08006	41.3999835	2.1487078	1	12.5	neg
08007	41.3896482	2.1659005	2	34.3	neg
08008	41.3947475	2.1609876	2	23.7	neg
08009	41.3945632	2.1708139	2	0.0	null
08010	41.3919671	2.1757278	2	0.0	null
08011	41.3847786	2.1585314	3	5.8	pos
08012	41.4023493	2.1560753	1	33.6	neg
08013	41.4031163	2.181871	2	48.5	neg
08014	41.3751275	2.1388864	5	30.2	pos
08015	41.378633	2.1523914	2	36.9	neg
08016	41.436921	2.1806423	3	69.2	pos
08017	41.4171333	2.1008486	2	62.2	pos
08018	41.40293	2.1917018	2	19.7	neg
08019	41.4125664	2.2113698	6	0.0	null
08020	41.4227641	2.2015347	6	0.0	null
08021	41.397617	2.1413415	1	0.0	null
08022	41.4090402	2.1327491	1	17.0	pos
08023	41.4125897	2.1437968	0	119.7	pos
08024	41.4123152	2.1585314	2	37.4	pos
08025	41.4083076	2.1720423	2	27.6	neg
08026	41.4118532	2.1830997	2	0.0	null
08027	41.4230444	2.1867861	2	46.3	neg
08028	41.3790881	2.1278398	2	29.3	neg
08029	41.3888317	2.1425692	1	17.9	neg
08030	41.4378689	2.196618	2	32.0	pos
08031	41.4321952	2.1659005	2	3.3	neg
08032	41.4235073	2.1622158	1	6.1	neg
08033	41.4531556	2.181871	13	0.0	null
08034	41.3943819	2.1131154	1	10.5	neg
08035	41.4264213	2.1401139	4	39.2	neg
