Municipio	cpos
FUENTE DEL MAESTRE	06360
BURGUILLOS DEL CERRO	06370
VALVERDE DE BURGUILLOS	06378
JEREZ DE LOS CABALLEROS	06380
BAZANA, LA	06389
FERIA	06390
LAPA, LA	06391
RAPOSO, EL	06392
ALCONERA	06393
BODONAL DE LA SIERRA	06394
DON BENITO	06400
CONQUISTA	06410
MEDELLIN	06411
HERNAN CORTES	06412
MENGABRIL	06413
CASTUERA	06420
MONTERRUBIO DE LA SERENA	06427
PUERTO HURRACO	06428
BENQUERENCIA DE LA SERENA	06429
ZALAMEA DE LA SERENA	06430
ESPARRAGOSA DE LA SERENA	06439
MALPARTIDA DE LA SERENA	06440
HIGUERA DE LA SERENA	06441
RETAMAL DE LLERENA	06442
CAMPILLO DE LLERENA	06443
VALENCIA DE LAS TORRES	06444
HIGUERA DE LLERENA	06445
QUINTANA DE LA SERENA	06450
VALLE DE LA SERENA	06458
GUARDA, LA	06459
CAMPANARIO	06460
MAGACELA	06468
CORONADA, LA	06469
GUAREÑA	06470
VILLAGONZALO	06473
VALDETORRES	06474
OLIVA DE MERIDA	06475
PALOMAS	06476
PUEBLA DE LA REINA	06477
MANCHITA	06478
CRISTINA	06479
MONTIJO	06480
NAVA DE SANTIAGO, LA	06486
CORDOBILLA DE LACARA	06487
CARMONITA	06488
LACARA, DE, POBLADO	06489
PUEBLA DE LA CALZADA	06490
LOBON	06498
BARBAÑO	06499
SAN VICENTE DE ALCANTARA	06500
CONVENTO, EL	06509
ALBURQUERQUE	06510
CODOSERA, LA	06518
BACOCO	06519
CABEZA DEL BUEY	06600
PEÑALSORDO	06610
ZARZA CAPILLA	06611
CAPILLA	06612
HELECHAL	06613
ALMORCHON	06614
NAVA, LA (DE ALMORCHON)	06615
ESPARRAGOSA DE LARES	06620
PUEBLA DE ALCOCER	06630
TALARRUBIAS	06640
SIRUELA	06650
SANCTI-SPIRITUS	06655
GARLITOS	06656
RISCO	06657
TAMUREJO	06658
BATERNO	06659
FUENLABRADA DE LOS MONTES	06660
HERRERA DEL DUQUE	06670
VILLARTA DE LOS MONTES	06678
PELOCHE	06679
CASTILBLANCO	06680
VALDECABALLEROS	06689
GARBAYUELA	06690
PANTANO DE CIJARA	06691
HELECHOSA DE LOS MONTES	06692
VILLANUEVA DE LA SERENA	06700
ENTRERRIOS	06710
GARGALIGAS	06711
ZURBARAN	06712
GUADALPERALES, LOS	06713
HABA, LA	06714
RENA	06715
VILLAR DE RENA	06716
PALAZUELO	06717
CASTILLO DE LA ENCOMIENDA	06718
VALDIVIA	06720
ACEDERA	06730
VEGAS ALTAS	06731
ORELLANA LA VIEJA	06740
ORELLANA DE LA SIERRA	06750
NAVALVILLAR DE PELA	06760
CASAS DE DON PEDRO	06770
MERIDA	06800
CALAMONTE	06810
DON ALVARO	06820
ZARZA, LA	06830
ALANGE	06840
ARROYO DE SAN SERVAN	06850
ESPARRAGALEJO	06860
GARROVILLA, LA	06870
TORREMAYOR	06880
VALVERDE DE MERIDA	06890
MIRANDILLA	06891
TRUJILLANOS	06892
SAN PEDRO DE MERIDA	06893
ALJUCEN	06894
LLERENA	06900
PUEBLA DEL MAESTRE	06906
PALLARES	06907
SANTA MARIA LA NAVA	06908
TRASIERRA	06909
GRANJA DE TORREHERMOSA	06910
PERALEDA DEL ZAUCEJO	06919
AZUAGA	06920
VALVERDE DE LLERENA	06927
MALCOCINADO	06928
CARDENCHOSA, LA	06929
BERLANGA	06930
MAGUILLA	06939
AHILLONES	06940
VILLAGARCIA DE LA TORRE	06950
CASAS DE REINA	06960
REINA	06970
FUENTE DEL ARCO	06980
Mallorca	07001
Mallorca	07002
Mallorca	07003
Mallorca	07004
Mallorca	07005
Mallorca	07006
Mallorca	07007
Mallorca	07008
Mallorca	07009
Mallorca	07010
Mallorca	07011
Mallorca	07012
Mallorca	07013
Mallorca	07014
Mallorca	07015
Mallorca	07070
Mallorca	07071
Mallorca	07080
HORTA DE POLLENÇA, L'	07100
BINIARAIX	07101
CAMP DE LAMA	07108
FORNALUTX	07109
BUNYOLA	07110
CAUBET	07119
Mallorca	07120
CENTRO MILITAR GENERAL ASENSIO	07130
CA'S CANA	07140
BENESTAR	07141
SANTA EUGENIA	07142
BINIALI	07143
COSTITX	07144
ANDRATX	07150
PORT D'ANDRATX	07157
S'ARRACO/L'ARRACO	07159
CALA FORNELLS	07160
ESTACA, LA	07170
DEIA	07179
SANTA PONÇA	07180
BENDINAT	07181
CALA VINYES	07182
COSTA DE LA CALMA	07183
CALVIA	07184
ESPORLES	07190
BANYALBUFAR	07191
ESTELLENCS	07192
PALMANYOLA	07193
PUIGPUNYENT	07194
GALILEA	07195
CAPDELLA, ES	07196
Mallorca	07198
Mallorca	07199
FELANITX	07200
CARRITXO, ES/CARRITXO, EL	07208
CANTERAS LAS	07209
ALGAIDA	07210
PINA	07220
MONTUIRI	07230
SANT JOAN	07240
VILAFRANCA DE BONANY	07250
PORRERES	07260
INCA	07300
CAMPANET	07310
BUGER	07311
MANCOR DE LA VALL	07312
SELVA	07313
CAIMARI	07314
ESCORCA	07315
SOL AIRES DE MONTANYA	07316
SANTA MARIA DEL CAMI (ISLA DE MALLORCA)	07320
CONSELL	07330
ALARO	07340
ORIENT	07349
BINIAGUAL	07350
